source_id,source_name,reference_or_url,molecule_type,assay_type,property_name,property_unit,number_of_peptides,has_sequence,has_smiles,has_helm,has_monomer_list,has_noncanonical_residue,has_same_scaffold_sar,can_construct_matched_pairs,estimated_pair_count,priority,confidence_note,notes
SRC001,CycPeptMPDB,http://cycpeptmpdb.com/,cyclic peptides,"PAMPA; Caco2; MDCK; RRCK",log membrane permeability,logPexp,7451,yes,yes,yes,yes,yes,partial,yes,high,A,"Best starting point. Public CycPeptMPDB-derived CSV has 7451 rows; local check found 6941 PAMPA, 649 Caco2, 40 MDCK, 186 RRCK non-null entries.","Use as peptide_sample_table backbone; pair construction requires source-wise SAR grouping."
SRC002,CycPeptMPDB paper,https://doi.org/10.1021/acs.jcim.2c01573,cyclic peptides,"PAMPA; Caco2; MDCK; RRCK",membrane permeability,various,7334,yes,yes,yes,yes,yes,partial,yes,high,A,"Database paper reports 7334 cyclic peptides from 45 papers and 2 patents; useful for citation and source provenance.","Use to justify dataset origin and HELM representation."
SRC003,CycPeptMP GitHub,https://github.com/akiyamalab/cycpeptmp,cyclic peptides,mainly PAMPA,LogPexp,log,7337,yes,yes,yes,yes,yes,partial,yes,high,A,"Processed CycPeptMPDB data and monomer_table are available; README reports dedup all 7451->7337 and PAMPA 6941->6889.","Use for raw CSV, monomer correspondence table, baseline comparison and split indices."
SRC004,BenchmarkCycPeptMP GitHub,https://github.com/Gobliu/BenchmarkCycPeptMP,cyclic peptides,mainly PAMPA,membrane permeability,log,7000+,yes,yes,yes,partial,yes,partial,yes,medium,A,"Benchmark of 13 ML/DL methods with random and scaffold split; useful for baselines and split protocol.","Use as baseline reference, not as primary source for edit labels."
SRC005,2020_Townsend from CycPeptMPDB,CycPeptMPDB Source=2020_Townsend,cyclic peptides,PAMPA,membrane permeability,log,3086,yes,yes,yes,yes,yes,yes,yes,very_high,A,"Largest source in public CSV. Rough shadow grouping found 3060 samples in groups with >=2 members and max shadow group size 184.","Top priority for matched edit-pair mining."
SRC006,2021_Kelly from CycPeptMPDB,CycPeptMPDB Source=2021_Kelly,lariat/cyclic peptides,PAMPA,membrane permeability,log,1519,yes,yes,yes,yes,yes,yes,yes,very_high,A,"Second largest source. Rough shadow grouping found 1388 samples in groups with >=2 members and max shadow group size 186.","Top priority; likely many same-scaffold variants."
SRC007,2016_Furukawa from CycPeptMPDB,CycPeptMPDB Source=2016_Furukawa,cyclic peptides,"PAMPA; Caco2",membrane permeability,log,688,yes,yes,yes,yes,yes,partial,yes,medium_high,B,"Large PAMPA source with 688 PAMPA and 8 Caco2 entries. Rough shadow grouping found 306 samples in repeated shadow groups.","Good second wave after Townsend/Kelly."
SRC008,2013_CHUGAI from CycPeptMPDB,CycPeptMPDB Source=2013_CHUGAI,cyclic peptides,PAMPA,membrane permeability,log,878,yes,yes,yes,yes,yes,partial,possible,low_medium,B,"Large source, but rough shadow grouping only found 30 samples in repeated shadow groups with current simple mapping.","Use mainly for absolute prediction unless manual series annotation reveals more pairs."
SRC009,2018_CHUGAI from CycPeptMPDB,CycPeptMPDB Source=2018_CHUGAI,cyclic peptides,Caco2,membrane permeability,log,374,yes,yes,yes,yes,yes,partial,possible,low_medium,B,"Caco2-heavy source with 374 Caco2 entries; rough shadow grouping found 49 samples in repeated groups.","Useful for secondary assay and external validation, not first PAMPA MVP."
SRC010,2015_Wang from CycPeptMPDB,CycPeptMPDB Source=2015_Wang,cyclic peptides,"PAMPA; Caco2",membrane permeability,log,62,yes,yes,yes,yes,yes,yes,yes,medium,A,"Small but strong candidate: 62 PAMPA and 62 Caco2 entries; rough shadow grouping found 41 samples in repeated groups.","High-value manually curated SAR set."
SRC011,2022_Bhardwaj from CycPeptMPDB,CycPeptMPDB Source=2022_Bhardwaj,cyclic peptides,"PAMPA; Caco2",membrane permeability,log,136,yes,yes,yes,yes,yes,partial,possible,low,B,"136 rows, 133 PAMPA and 40 Caco2 entries; rough shadow grouping currently weak.","Use after high-priority sources."
SRC012,2022_Taechalertpaisarn from CycPeptMPDB,CycPeptMPDB Source=2022_Taechalertpaisarn,cyclic peptides,"PAMPA; Caco2",membrane permeability,log,52,yes,yes,yes,yes,yes,partial,yes,low_medium,B,"52 PAMPA and 5 Caco2 entries; rough shadow grouping found 20 samples in repeated groups.","Potential small SAR set."
SRC013,2020_Le_Roux from CycPeptMPDB,CycPeptMPDB Source=2020_Le Roux,cyclic peptides,"PAMPA; Caco2",membrane permeability,log,47,yes,yes,yes,yes,yes,partial,yes,low_medium,B,"47 PAMPA and 39 Caco2 entries; rough shadow grouping found 17 samples in repeated groups.","Potential dual-assay matched set."
SRC014,2015_Hewitt from CycPeptMPDB,CycPeptMPDB Source=2015_Hewitt,cyclic peptides,Caco2,membrane permeability,log,18,yes,yes,yes,yes,yes,yes,yes,low,B,"Small Caco2 source; rough shadow grouping found 16 samples in repeated groups.","Useful for manual examples and Caco2 validation."
SRC015,2018_Naylor from CycPeptMPDB,CycPeptMPDB Source=2018_Naylor,cyclic peptides,PAMPA,membrane permeability,log,81,yes,yes,yes,yes,yes,partial,possible,low,B,"81 rows, 72 PAMPA; rough shadow grouping currently found 8 repeated-shadow samples.","Potential single-source series after manual check."
SRC016,CyclicPepedia,https://academic.oup.com/bib/article/25/3/bbae190/7659283,cyclic peptides,none,structure annotation,NA,8744,yes,yes,partial,yes,yes,unknown,no,NA,C,"Cyclic peptide knowledge base with sequence/structure conversion and monomer reference library; not a permeability source.","Auxiliary source for monomer dictionary and structure conversion."
SRC017,NORINE,https://norine.univ-lille.fr/NRP/,nonribosomal peptides,none,structure annotation,NA,1000+,yes,partial,no,yes,yes,unknown,no,NA,C,"NRP database useful for noncanonical monomer names and natural cyclic peptide scaffolds; not permeability-labeled.","Auxiliary monomer/scaffold reference."
SRC018,HELM core monomer resources,https://pistoiaalliance.org/news/new-core-monomer-set-for-helm-on-github/,monomers,none,monomer definitions,NA,NA,no,no,yes,yes,yes,NA,no,NA,C,"Useful for monomer nomenclature, attachment points and HELM-compatible representation.","Auxiliary for monomer_anchor_table, not peptide property labels."
SRC019,SWEMacrocycleDB,https://www.nature.com/articles/s41597-024-04302-z,nonpeptidic/semipeptidic macrocycles,membrane permeability,membrane permeability,various,4216,no,yes,no,no,partial,unknown,no,NA,C,"Nonpeptidic macrocycle permeability database with 5638 datapoints; outside main cyclic peptide scope.","Possible negative/contrastive macrocycle auxiliary source, not MVP."
SRC020,CycPeptMPDB current web release,https://cycpeptmpdb.com/,cyclic peptides,"PAMPA; Caco2; MDCK; RRCK",membrane permeability,log,7991,yes,yes,yes,yes,yes,partial,yes,high,A,"Current website states version 1.2 contains 7991 structurally diverse cyclic peptides from 56 publications.","Check whether newer web export differs from the public GitHub CSV before freezing v1 dataset."
SRC021,CPPsite 2.0,https://academic.oup.com/nar/article/44/D1/D1098/2503079,cell-penetrating peptides,cell uptake/internalization,CPP validation and uptake context,various,1855,yes,partial,partial,partial,yes,partial,possible,low,B,"Manually curated CPP database; paper reports around 1850 entries and explicitly records chemical modifications such as non-natural residues, linkers and lipid moieties.","Auxiliary uptake/cell-penetration labels only; not directly comparable with passive permeability."
SRC022,CellPPD,https://github.com/raghavagps/CellPPD,cell-penetrating peptides,cell penetration classification,CPP/non-CPP,binary,NA,yes,no,no,no,limited,no,no,NA,C,"Prediction server/repository for CPP design trained on experimentally validated CPP data.","Use only as historical CPP benchmark or negative/positive sequence source after license check."
SRC023,Hemolytik,https://academic.oup.com/nar/article/42/D1/D444/1041683,peptides,hemolysis,hemolytic activity,various,3000,yes,partial,no,partial,yes,unknown,possible,low,B,"Manually curated database; NAR paper reports about 3000 entries and about 2000 unique peptides evaluated on erythrocytes from 17 sources.","Good auxiliary toxicity label source; assay conditions and concentrations must be normalized carefully."
SRC024,HemoPI/HemoPI2,https://www.nature.com/articles/s42003-025-07615-w,peptides,hemolysis,HC50 and hemolysis classification,HC50/binary,1926,yes,partial,no,partial,limited,no,no,NA,B,"Recent hemolysis modeling work reports 1926 peptides with experimentally determined HC50 against mammalian RBCs.","Useful for auxiliary hemolysis regression/classification, not edit-pair data."
SRC025,DBAASP,https://dbaasp.org/,antimicrobial peptides,"antimicrobial; hemolysis; cytotoxicity",MIC and toxicity,various,18000+,yes,yes,no,yes,yes,partial,possible,low,B,"Manually curated AMP database with chemical structure, 3D structure, antimicrobial activity and hemolytic/cytotoxic activity fields.","Potential source for hemolysis/cytotoxicity and modified peptide examples; requires strict assay-condition filtering."
